ID, HapPosX, HapPosY, HapPosZ, time_send, ID_recv, PosDiff, time_receive, timeD
0,0.000000,0.000000,0.000000,997,0,0.0,202154,201157
1,-0.784472,-0.134143,0.476631,203859,1,0.9276679219386644,404872,201013
2,-0.686241,-0.174143,0.581844,406884,2,0.5255979237574382,607856,200972
3,-0.579322,-0.237321,0.764706,609668,3,0.22122487311981187,810636,200968
4,-0.236094,-0.261910,0.975529,811927,4,0.407804389994169,1012872,200945
5,0.380676,-0.789818,2.033661,1014074,5,1.3920251328990332,1215074,201000
6,0.507583,-1.350995,3.396027,1216938,6,2.366810108652106,1417769,200831
7,0.655105,-1.295499,3.396027,1419002,7,1.3596335263757424,1620013,201011
8,0.802581,-1.239883,3.396027,1621935,8,0.31524163389487525,1822960,201025
9,0.991543,-1.293857,3.659214,1825042,9,0.3284692252272679,2026003,200961
10,1.295676,-1.428259,4.186249,2028061,10,0.6529485595442799,2229101,201040
11,1.493118,-1.503012,4.656246,2230755,11,0.7410140143718886,2431672,200917
12,2.018010,-1.327099,4.734615,2432877,12,0.6385553286177355,2633747,200870
13,3.041386,-0.906514,4.911789,2635711,13,1.3001968456071618,2836761,201050
14,4.301518,0.831459,4.575146,2838038,14,2.7862145422680324,3038982,200944
15,8.090925,2.954306,5.277710,3040981,15,6.254735877601069,3241948,200967
16,10.435244,4.620544,6.504318,3243945,16,7.551837040467927,3445611,201666
17,14.882866,8.696327,6.537199,3446961,17,12.496613380584455,3647941,200980
18,23.628273,15.235324,8.953697,3649936,18,20.543897443713348,3850837,200901
19,33.511912,22.788028,10.406013,3852867,19,32.06701562504431,4054022,201155
20,42.043402,29.657550,11.883896,4055477,20,40.7721082717503,4256473,200996
21,46.988764,34.868265,12.353128,4258418,21,46.97170218783751,4459510,201092
22,49.480830,37.872744,12.479294,4461130,22,46.93831617279979,4662140,201010
23,52.749168,40.735670,13.133663,4663894,23,50.03889764055126,4864901,201007
24,56.377965,43.537075,14.080471,4866365,24,52.51564539118374,5067461,201096
25,60.401311,47.684628,14.502621,5069393,25,52.68169796001215,5270393,201000
26,64.463748,51.468679,14.565742,5271868,26,54.95836294410896,5472764,200896
27,67.418758,54.457744,14.499531,5473969,27,58.211552420125855,5674918,200949
28,68.581686,55.733569,14.499531,5676965,28,55.34025192199976,5877933,200968
29,70.386114,58.143587,14.604422,5879661,29,52.830898241392866,6080626,200965
30,73.984913,61.293316,14.701384,6081893,30,56.02833219510385,6282893,201000
31,75.148810,62.577351,14.878420,6284410,31,55.97484672851055,6485437,201027
32,78.253999,65.789838,14.885756,6486660,32,54.9956150042764,6687585,200925
33,81.835328,70.182232,15.025566,6689370,33,57.1637790367045,6890376,201006
34,84.589032,73.513786,14.903004,6891524,34,60.57701360382398,7092509,200985
35,86.266558,75.578500,14.404583,7094086,35,59.177896620400126,7295148,201062
36,83.704688,72.470021,13.936419,7296438,36,52.61824232378654,7497574,201136
37,77.137477,64.748077,13.351376,7499051,37,41.3442073740469,7700077,201026
38,73.605632,60.531546,13.174389,7701892,38,33.20531364217388,7902812,200920
39,66.169838,52.850347,13.218065,7904079,39,21.602534383539492,8105083,201004
40,59.913853,47.433773,12.836611,8106969,40,10.209224916587546,8308074,201105
41,54.224179,42.456970,12.701286,8309458,41,1.95361676947391,8510551,201093
42,49.641381,38.498677,12.701286,8511941,42,7.771490064088278,8712867,200926
43,43.287786,33.395566,12.654146,8714641,43,16.739145646917027,8915623,200982
44,39.370694,30.518761,12.579988,8916956,44,24.560930575379132,9118024,201068
45,36.549862,28.420003,12.317080,9120029,45,30.69214738326312,9320992,200963
46,30.767966,24.272150,11.966019,9322953,46,38.687197917432684,9523878,200925
47,25.568259,20.998752,11.384634,9526016,47,48.51714177832102,9727087,201071
48,20.399579,17.799546,10.517166,9729086,48,55.64209390482056,9930119,201033
49,16.123517,15.284175,9.647251,9931918,49,63.459426334129226,10133116,201198
50,14.679051,14.308232,8.897444,10134948,50,66.51950511402737,10335845,200897
51,11.101798,12.016243,8.183125,10338003,51,72.3504730150495,10539067,201064
52,8.766334,9.853278,6.993958,10540940,52,76.33424498809468,10742004,201064
53,7.680079,8.933240,6.095028,10743968,53,80.0930439373278,10944868,200900
54,7.645908,8.444278,5.716660,10946907,54,81.36727254492868,11147898,200991
55,7.224893,8.075613,5.500267,11149950,55,85.29858835503136,11351011,201061
56,7.348220,7.409893,5.879307,11353002,56,86.38643147787515,11554101,201099
57,7.035136,6.783592,5.826668,11555643,57,88.50550688887353,11756558,200915
58,7.340001,6.271502,5.732113,11757899,58,90.39210192361922,11958891,200992
59,6.979003,5.550693,5.534412,11960689,59,93.73087505748641,12161743,201054
